reporting_org_ref,registry_id,org_type,org_name,abbreviation,usability_score,tracker_commit,tracker_spend,latest_txn_year,hq_country,CRS_codes,IATI_organisation_type,IATI_organisation_name,country
DK-CVR-12006004,cku,NGO,Center for Church-Based Development,, ,,,2021,DK,,International NGO,Center for Church-Based Development,
US-EIN-75-3130860,civic_admin,NGO,Center for Civilians in Conflict,, ,,,2019,US,,International NGO,Center for Civilians in Conflict,
CA-CRA_ACR-118846575,ceci,NGO,Center for International Studies and Cooperation,, ,,,#N/A,CA,,International NGO,Center for International Studies and Cooperation,
NP-SWC-1844,crehpa,NGO,Center for Research on Environment Health and Population Activities (CREHPA),, ,,,2018,NP,,National NGO,Center for Research on Environment Health and Population Activities (CREHPA),
NG-CAC-IT-23286,ccdnigeria,NGO,Centre For Citizens With Disabilities,, ,,,#N/A,NG,,National NGO,Centre For Citizens With Disabilities,
GB-CHC-287287,cepr,NGO,Centre for Economic Policy Research,, ,,,2021,GB,,National NGO,Centre for Economic Policy Research,
UA-EDR-9795443,ces-ua,NGO,Centre for Economic Strategy Ukraine,, ,,,#N/A,UA,,National NGO,Centre for Economic Strategy Ukraine,
NG-CAC-19258,cehrd1,NGO,Centre for Environment Human Rights and Development,, ,,,2018,NG,,International NGO,Centre for Environment Human Rights and Development,
BD-NAB-2004,ciprb,NGO,"Centre for Injury Prevention and Research, Bangladesh (CIPRB)",, ,,,2021,BD,,National NGO,"Centre for Injury Prevention and Research, Bangladesh (CIPRB)",
NG-CAC-54522,clerd-prpi,NGO,Centre for Legal Research and Development,, ,,,2019,NG,,National NGO,Centre for Legal Research and Development,
FR-RCS-78049888700022,cidr,NGO,Centre International de D̩veloppement et de Recherche,, ,,,2021,FR,,International NGO,Centre International de D̩veloppement et de Recherche,
BE-BCE_KBO-0421207751,cncd,NGO,Centre National de Coop̩ration au D̩veloppement (CNCD-11.11.11),, ,,,2021,BE,,National NGO,Centre National de Coop̩ration au D̩veloppement (CNCD-11.11.11),
BE-BCE_KBO-0461076236,ct-admin,NGO,Centre Tricontinental - CETRI,, ,,,2020,BE,,National NGO,Centre Tricontinental - CETRI,
PE-SUNARP-11744379,promsex,NGO,Centro de Promocion y Defensa de los Derechos Sexuales y Reproductivos,, ,,,2018,PE,,Regional NGO,Centro de Promocion y Defensa de los Derechos Sexuales y Reproductivos,
IT-CF-95008730160,cesvi,NGO,Cesvi,, ,,,#N/A,IT,,International NGO,Cesvi,
TZ-TRA-101-304-795,umati,NGO,Chama cha Uzazi na Malezi Bora Tanzania (UMATI),, ,,,#N/A,TZ,,National NGO,Chama cha Uzazi na Malezi Bora Tanzania (UMATI),
GB-CHC-1013587,chanceforchildhood,NGO,Chance for Childhood,, ,,,2019,GB,,International NGO,Chance for Childhood,
BE-BCE_KBO-0463455904,cdeb-kvhb_admin,NGO,Chąne de l'Espoir Belgique / Keten van Hoop Belgi�� / Chain of Hope Belgium,, ,,,2021,BE,,National NGO,Chąne de l'Espoir Belgique / Keten van Hoop Belgi�� / Chain of Hope Belgium,
TZ-TRA-121406209,cst,NGO,CHEKA SANA TANZANIA,, ,,,#N/A,TZ,,National NGO,CHEKA SANA TANZANIA,
UG-NGB-5914-7209,csu,NGO,Cheshire Services Uganda,, ,,,2021,UG,,National NGO,Cheshire Services Uganda,
GB-CHC-1118528,child-dot_org,NGO,Child.org,, ,,,2021,,,International NGO,Child.org,
US-EIN-54-0536100,childfund,NGO,ChildFund International,, ,,,2016,US,,International NGO,ChildFund International,
GB-CHC-328434,childhopeuk,NGO,ChildHope UK,, ,,,2021,GB,,International NGO,ChildHope UK,
GB-CHC-1020488,cic,NGO,Children in Crisis,, ,,,2015,GB,,International NGO,Children in Crisis,
GB-NIC-101412,cicni,NGO,Children in Crossfire,, ,,,#N/A,GB,,International NGO,Children in Crossfire,
GB-CHC-1152010,ctc,NGO,Child-to-Child,, ,,,2016,GB,,International NGO,Child-to-Child,
NL-KVK-32108345,cfyas,NGO,CHOICE for Youth and Sexuality,, ,,,2020,NL,,International NGO,CHOICE for Youth and Sexuality,
GB-CHC-270901,,,,,,,,,,,,,
NL-KVK-30258482,,,,,,,,,,,,,
GB-CHC-1105851,caid,NGO,Christian Aid,, ,,,2021,GB,,International NGO,Christian Aid,
IE-CHY-6998,caid_ireland,NGO,Christian Aid Ireland,, ,,,#N/A,IE,,International NGO,Christian Aid Ireland,
GB-CHC-1058162,cbm,NGO,Christian Blind Mission (UK) Ltd.,, ,,,2021,GB,,International NGO,Christian Blind Mission (UK) Ltd.,
GB-CHC-293734,ced,NGO,Christian Engineers in Development,, ,,,2015,GB,,International NGO,Christian Engineers in Development,
IN-MHA-147110006,cini_jhk,NGO,CINI,, ,,,2017,IN,,National NGO,CINI,
DK-CVR-19348407,cisu,NGO,CISU,, ,,,2021,DK,,National NGO,CISU,
ZA-NPO-029-864,civicus,NGO,CIVICUS World Alliance for Citizen Participation,, ,,,2020,ZA,,International NGO,CIVICUS World Alliance for Citizen Participation,
US-EIN-33-1112770,clasp,NGO,CLASP,, ,,,2020,US,,International NGO,CLASP,
NL-KVK-41210820,ccc,NGO,Clean Clothes Campaign,, ,,,2018,NL,,International NGO,Clean Clothes Campaign,
GB-COH-02863827,clientearth-1,NGO,ClientEarth,, ,,,2021,GB,,International NGO,ClientEarth,
US-EIN-27-1414646,chai,NGO,Clinton Health Access Initiative,, ,,,2021,US,,International NGO,Clinton Health Access Initiative,
NL-KVK-54436222,nl-kvk-54436222-27541,NGO,CNV Internationaal,, ,,,2021,NL,,National NGO,CNV Internationaal,
GB-COH-10516061,cobracollective,NGO,Cobra Collective CIC,, ,,,2021,GB,,International NGO,Cobra Collective CIC,
NL-KVK-40530156,cocnl_publisher,NGO,COC Nederland,, ,,,2020,NL,,National NGO,COC Nederland,
GB-CHC-1000717,coda,NGO,CODA International,, ,,,2015,GB,,International NGO,CODA International,
BE-BCE_KBO-0434417468,codeart,NGO,CODEART ASBL,, ,,,2020,BE,,National NGO,CODEART ASBL,
GB-CHC-1142516,colalife,NGO,ColaLife,, ,,,2018,GB,,National NGO,ColaLife,
BE-BCE_KBO-0448755949,csa,NGO,Collectif Strat̩gies Alimentaires,, ,,,2021,BE,,National NGO,Collectif Strat̩gies Alimentaires,
BE-BCE_KBO-0446340550,cadtm,NGO,Comit̩ pour l'abolition des dettes ill̩gitimes,, ,,,2020,BE,,National NGO,Comit̩ pour l'abolition des dettes ill̩gitimes,
BE-BCE_KBO-0418399305,cjp,NGO,COMMISSION JUSTICE ET PAIX ASBL (cjp),, ,,,2020,BE,,National NGO,COMMISSION JUSTICE ET PAIX ASBL (cjp),
GB-COH-02962250,clgf_data,NGO,Commonwealth Local Government Forum,, ,,,2020,GB,,International NGO,Commonwealth Local Government Forum,
GB-CHC-1077216,comp_uk,NGO,Compassion UK,, ,,,2021,GB,,International NGO,Compassion UK,
IE-CHY-20009090,concern_worldwide,NGO,Concern Worldwide,, ,,,2020,IE,,International NGO,Concern Worldwide,
GB-CHC-1092236,concernuk,NGO,Concern Worldwide UK,, ,,,2020,GB,,International NGO,Concern Worldwide UK,
GB-CHC-1055436,cr,NGO,Conciliation Resources,, ,,,2021,GB,,International NGO,Conciliation Resources,
GB-COH-04930461,concordis,NGO,Concordis International,, ,,,2020,GB,,International NGO,Concordis International,
US-EIN-56-2460366,cdi,NGO,Conflict Dynamics International,, ,,,2017,US,,International NGO,Conflict Dynamics International,
BE-BCE_KBO-0408256667,congodorpen,NGO,Congodorpen vzw,, ,,,2021,BE,,National NGO,Congodorpen vzw,
ML-NIF-084106436R,caeb_mali,NGO,Conseil et Appui pour l'Education �� la Base Mali,, ,,,2019,ML,,National NGO,Conseil et Appui pour l'Education �� la Base Mali,
GB-CHC-1046579,csc,NGO,Consortium for Street Children,, ,,,2020,GB,,International NGO,Consortium for Street Children,
GB-COH-8159144,cost_uk,NGO,Construction Sector Transparency Initiative (CoST),, ,,,2019,,,International NGO,Construction Sector Transparency Initiative (CoST),
BE-BCE_KBO-0417549465,cec,NGO,Coop̩ration par l'Education et la Culture,, ,,,2020,BE,,National NGO,Coop̩ration par l'Education et la Culture,
GB-CHC-1070684,cord,NGO,Cord,, ,,,2015,GB,,Regional NGO,Cord,
NL-KVK-41160054,cordaid,NGO,Cordaid,, ,,,2021,NL,,International NGO,Cordaid,
US-EIN-843236198,corus,NGO,Corus International,, ,,,#N/A,US,,International NGO,Corus International,
UG-NGB-5914-9186,crane,NGO,CRANE,, ,,,2019,UG,,National NGO,CRANE,
US-EIN-31-1812979,creausa-org,NGO,CREA,, ,,,2020,IN,,International NGO,CREA,
BE-BCE_KBO-0462132150,crb-ai_admin,NGO,Croix-Rouge de Belgique Communaut̩ francophone - Activit̩s internationales ASBL,, ,,,2020,BE,,National NGO,Croix-Rouge de Belgique Communaut̩ francophone - Activit̩s internationales ASBL,
TN-TIN-102123727,cuammtrustees,NGO,CUAMM Trustees,, ,,,2016,TZ,,National NGO,CUAMM Trustees,
GB-CHC-1129603,cyan,NGO,Cyan International,, ,,,2018,GB,,International NGO,Cyan International,
IE-CHY-6410,dochas,NGO,D�_chas - Irish Association of Non Governmental Development Organisations,, ,,,2015,IE,,National NGO,D�_chas - Irish Association of Non Governmental Development Organisations,
BE-BCE_KBO-0406694670,damien-foundation,NGO,Damiaanactie / Action Damien,, ,,,2021,BE,,National NGO,Damiaanactie / Action Damien,
NL-KVK-34197379,dance4life,NGO,dance4life,, ,,,2021,NL,,International NGO,dance4life,
DK-CVR-36980214,dca,NGO,DanChurchAid,, ,,,2021,DK,,International NGO,DanChurchAid,
DK-CVR-58185728,dfpa,NGO,Danish Family Planning Association,, ,,,2020,DK,,National NGO,Danish Family Planning Association,
DK-CVR-20700211,danishrc,NGO,Danish Red Cross,, ,,,2021,DK,,National NGO,Danish Red Cross,
DK-CVR-20699310,drc,NGO,Danish Refugee Council,, ,,,2021,DK,,International NGO,Danish Refugee Council,
DK-CVR-20453672,loftf,NGO,Danish Trade Union Development Agency (Ulandssekretariatet),, ,,,2021,DK,,International NGO,Danish Trade Union Development Agency (Ulandssekretariatet),
DK-CVR-25191501,danmission,NGO,Danmission,, ,,,2021,DK,,National NGO,Danmission,
GB-CHC-1151219,dki1151219,NGO,DeafKidz International,, ,,,2021,GB,,International NGO,DeafKidz International,
NL-KVK-27284008,decp,NGO,DECP,, ,,,2020,NL,,National NGO,DECP,
NL-KVK-41208813,dciecpatnl,NGO,Defence for Children International Netherlands - ECPAT Netherlands,, ,,,2019,NL,,National NGO,Defence for Children International Netherlands - ECPAT Netherlands,
DE-CR-RA000217-HRB121747B,dri,NGO,Democracy Reporting International gGmbH,, ,,,2021,DE,,International NGO,Democracy Reporting International gGmbH,
GPAF-IMP-031,dapp,NGO,Development Aid from People to People (DAPP) Malawi,, ,,,#N/A,MW,,National NGO,Development Aid from People to People (DAPP) Malawi,
GB-COH-06368740,dipr,NGO,Development Initiatives Poverty Research,, ,,,2021,GB,,International NGO,Development Initiatives Poverty Research,
GB-COH-06069322,dmi_admin,NGO,Development Media International,, ,,,2021,GB,,International NGO,Development Media International,
IN-MHA-094421114,,,,,,,,,,,,,
BD-NAB-0682,dorp-org,NGO,Development Organisation of the Rural Poor,, ,,,#N/A,BD,,National NGO,Development Organisation of the Rural Poor,
GB-CHC-1122924,diltuk,NGO,Developments In Literacy Trust UK,, ,,,2015,GB,,International NGO,Developments In Literacy Trust UK,
BE-BCE_KBO-0433439550,dba,NGO,D̩fi Belgique Afrique,, ,,,2021,BE,,National NGO,D̩fi Belgique Afrique,
SE-ON-802017-3517,diakonia802017-3517,NGO,Diakonia Sweden,, ,,,2019,SE,,International NGO,Diakonia Sweden,
GB-CHC-1046001,ddp,NGO,Disability and Development Partners,, ,,,2021,GB,,International NGO,Disability and Development Partners,
US-EIN-27-5026463,draf,NGO,Disability Rights Advocacy Fund,, ,,,2016,US,,International NGO,Disability Rights Advocacy Fund,
US-EIN-27-5026293,drf,NGO,Disability Rights Fund,, ,,,2016,US,,International NGO,Disability Rights Fund,
DK-CVR-14766383,dpod,NGO,Disabled People's Organisations Denmark,, ,,,2021,DK,,National NGO,Disabled People's Organisations Denmark,
GB-CHC-1062638,dec-uk,NGO,Disasters Emergency Committee,, ,,,2020,GB,,National NGO,Disasters Emergency Committee,
US-EIN-522043740,dla,NGO,"Discovery Learning Alliance, Inc.",, ,,,2021,US,,International NGO,"Discovery Learning Alliance, Inc.",
BE-BCE_KBO-0408022778,djapo,NGO,Djapo,, ,,,2020,BE,,National NGO,Djapo,
ET-CSA-0062,dkt_ethiopia,NGO,DKT Ethiopia,, ,,,#N/A,ET,,International NGO,DKT Ethiopia,
GB-CHC-1067406,dotw_uk,NGO,Doctors of the World UK,, ,,,2016,GB,,International NGO,Doctors of the World UK,
IT-CF-00677540288,cuamm,NGO,Doctors with Africa CUAMM,, ,,,2020,IT,,International NGO,Doctors with Africa CUAMM,
NL-KVK-41236410,dai,NGO,Dorcas Aid International,, ,,,2021,NL,,International NGO,Dorcas Aid International,
DK-CVR-13078513,duf,NGO,DUF - The Danish Youth Council,, ,,,2021,DK,,National NGO,DUF - The Danish Youth Council,
BE-BCE_KBO-0474912493,dynamo_international,NGO,Dynamo International asbl,, ,,,2021,BE,,National NGO,Dynamo International asbl,
CH-FDJP-CHE251665168,ewf,NGO,Earthworm Foundation,, ,,,2020,CH,,International NGO,Earthworm Foundation,
GB-CHC-1172875,eap,NGO,East African Playgrounds,, ,,,2021,GB,,International NGO,East African Playgrounds,
BE-BCE_KBO-0443262185,ec,NGO,Echos Communication,, ,,,2021,BE,,National NGO,Echos Communication,
BE-BCE_KBO-0432503697,eclosio,NGO,Eclosio,, ,,,2021,BE,,National NGO,Eclosio,
US-EIN-84-1648607,educate,NGO,Educate!,, ,,,2018,US,,International NGO,Educate!,
KE-RCO-270901,edt_kenya,NGO,Education Development Trust,, ,,,2020,KE,,International NGO,Education Development Trust,
RW-RGB-002-RGB-NGO-2017,edt_rwanda,NGO,EDUCATION DEVELOPMENT TRUST - RWANDA,, ,,,#N/A,RW,,International NGO,EDUCATION DEVELOPMENT TRUST - RWANDA,
NL-KVK-32092131,edukans_foundation,NGO,Edukans Foundation,, ,,,2021,NL,,International NGO,Edukans Foundation,
GB-CHC-1177110,elrha,NGO,Elrha,, ,,,2021,GB,,International NGO,Elrha,
TR-MOI-27-019-074,emissa,NGO,Emissa,, ,,,#N/A,TR,,National NGO,Emissa,
GB-CHC-289036,eiuk,NGO,Emmanuel International UK,, ,,,2016,GB,,International NGO,Emmanuel International UK,
GB-SC-SC032327,emms,NGO,EMMS International,, ,,,2021,GB,,International NGO,EMMS International,
GB-CHC-1119168,e4i,NGO,Energy 4 Impact,, ,,,#N/A,GB,,International NGO,Energy 4 Impact,
BE-BCE_KBO-0409451054,etmkdw,NGO,Enfance Tiers Monde Kinderen Derde Wereld,, ,,,2020,BE,,National NGO,Enfance Tiers Monde Kinderen Derde Wereld,
US-EIN-13-1623838,ehorg,NGO,EngenderHealth,, ,,,2020,US,,International NGO,EngenderHealth,
ET-CSA-1233,engenderhealth_eth,NGO,EngenderHealth Ethiopia,, ,,,2020,ET,,International NGO,EngenderHealth Ethiopia,
CA-CRA-89980-1815-RR0001,ewb_canada,NGO,Engineers Without Borders Canada,, ,,,2012,CA,,International NGO,Engineers Without Borders Canada,
JO-CCD-200006694,pfg,NGO,"Entiqal lel Tadreeb ""Partners for Good""",, ,,,#N/A,JO,,National NGO,"Entiqal lel Tadreeb ""Partners for Good""",
BE-BCE_KBO-0418015461,ef_,NGO,Entraide et Fraternit̩,, ,,,2021,BE,,National NGO,Entraide et Fraternit̩,
NG-CAC-57289,nacgond-,NGO,Environmental Centre for Oil Spills and Gas Flaring (NACGOND),, ,,,#N/A,NG,,National NGO,Environmental Centre for Oil Spills and Gas Flaring (NACGOND),
GB-COH-4016725,,,,,,,,,,,,,
KE-NCB-218051981161116,e_n,NGO,Equality Now,, ,,,2021,KE,,International NGO,Equality Now,
NL-KVK-65306198,equileap,NGO,equileap,, ,,,2018,NL,,International NGO,equileap,
GB-COH-3578127,eti,NGO,Ethical Trading Initiative,, ,,,2021,GB,,International NGO,Ethical Trading Initiative,
IE-CHY-20041069,ethiopiaidireland,NGO,Ethiopiaid Ireland,, ,,,2021,IE,,International NGO,Ethiopiaid Ireland,
GB-CHC-802353,ethiopiaiduk,NGO,Ethiopiaid UK,, ,,,2021,GB,,International NGO,Ethiopiaid UK,
ET-MOT-020/4/007,ehpea,NGO,Ethiopian Horticulture Producer Exporters Association (EHPEA),, ,,,2020,ET,,National NGO,Ethiopian Horticulture Producer Exporters Association (EHPEA),
NL-KVK-41078390,ejc,NGO,European Journalism Centre,, ,,,2020,NL,,National NGO,European Journalism Centre,
SS-RRC-405,eveowd,NGO,Eve Organization for Women Development,, ,,,2021,SS,,National NGO,Eve Organization for Women Development,
GB-CHC-1089879,evc,NGO,EveryChild,, ,,,2015,GB,,International NGO,EveryChild,
GB-CHC-1094478,excellent,NGO,Excellent Development,, ,,,2016,GB,,International NGO,Excellent Development,
GB-CHC-1154085,eel,NGO,Exeter Ethiopia Link,, ,,,2017,GB,,International NGO,Exeter Ethiopia Link,
NL-KVK-34111374,fwf,NGO,Fair Wear Foundation,, ,,,2021,NL,,International NGO,Fair Wear Foundation,
NL-KVK-34141098,fairfood,NGO,Fairfood International,, ,,,#N/A,NL,,National NGO,Fairfood International,
GB-CHC-1107403,goal,NGO,GOAL,, ,,,2021,IE,,International NGO,GOAL,
BE-BCE_KBO-0441988715,fairtrade_be,NGO,Fairtrade Belgium,, ,,,2019,BE,,National NGO,Fairtrade Belgium,
DE-AG-VR7795,fairtrade_international,NGO,Fairtrade Labelling Organizations International e.V.,, ,,,2016,DE,,International NGO,Fairtrade Labelling Organizations International e.V.,
KE-NCB-2180511403539790,f2a,NGO,Faith to Action Network,, ,,,2021,KE,,International NGO,Faith to Action Network,
ZW-PVO-WO1789,fact,NGO,Family Aids Caring Trust,, ,,,2018,ZW,,National NGO,Family Aids Caring Trust,
XI-GRID-grid.10347.31,,,,,,,,,,,,,
YE-MSAL-473-2001,fcdf,NGO,Family Counseling and Development Foundation,, ,,,2018,YE,,National NGO,Family Counseling and Development Foundation,
ET-CSA-0475,fgae_ethiopia,NGO,Family Guidance Association of Ethiopia,, ,,,2020,ET,,National NGO,Family Guidance Association of Ethiopia,
CA_ON-ONT-1783682,,,,,,,,,,,,,
UG-NGB-1826,flepuganda,NGO,Family Life Education Program,, ,,,2017,UG,,National NGO,Family Life Education Program,
GB-COH-01926828,fa,NGO,Farm Africa,, ,,,2021,GB,,International NGO,Farm Africa,
KE-RCO-C110031,fci,NGO,Farm Concern International,, ,,,2019,KE,,Regional NGO,Farm Concern International,
GB-COH-0277068,ffi_publisher,NGO,Fauna & Flora International,, ,,,#N/A,GB,,International NGO,Fauna & Flora International,
KE-NCB-218/051/93132/90,fida,NGO,Federation of Women Lawyers Kenya,, ,,,2019,KE,,National NGO,Federation of Women Lawyers Kenya,
GB-CHC-291333,ftm-291333,NGO,Feed the Minds,, ,,,2021,GB,,International NGO,Feed the Minds,
US-EIN-237413005,fhi360,NGO,FHI360,, ,,,2021,US,,International NGO,FHI360,
XI-IATI-FIABEL,fiabel,NGO,Fiabel,, ,,,2020,BE,,National NGO,Fiabel,
BE-BCE_KBO-0432622077,fian-belgium,NGO,FIAN Belgium,, ,,,2021,BE,,National NGO,FIAN Belgium,
US-EIN-61-1725201,field_ready,NGO,"Field Ready, USA",, ,,,2020,US,,International NGO,"Field Ready, USA",
LB-MOI-25465,fiftyfifty-lb,NGO,Fiftyfifty,, ,,,#N/A,LB,,National NGO,Fiftyfifty,
UG-RSB-197310,fsduganda,NGO,Financial Sector Deepening Uganda,, ,,,2020,UG,,National NGO,Financial Sector Deepening Uganda,
GB-CHC-250456,fyf,NGO,Find Your Feet,, ,,,2017,GB,,International NGO,Find Your Feet,
FI-PRO-0998454-4,fca,NGO,Finn Church Aid (Kirkon Ulkomaanapu sr),, ,,,2020,FI,,International NGO,Finn Church Aid (Kirkon Ulkomaanapu sr),
BE-BCE_KBO-0409597544,foncaba,NGO,FONCABA ASBL KBA VZW,, ,,,2021,BE,,National NGO,FONCABA ASBL KBA VZW,
CH-FDJP-CHE109947366,fh_ch,NGO,Fondation Hirondelle,, ,,,#N/A,CH,,International NGO,Fondation Hirondelle,
BE-BCE_KBO-0432552989,fos,NGO,Fonds voor Ontwikkelingssamenwerking - Socialistische Solidariteit VZW,, ,,,2021,BE,,National NGO,Fonds voor Ontwikkelingssamenwerking - Socialistische Solidariteit VZW,
GB-CHC-328273,fh,NGO,Food for the Hungry UK,, ,,,2021,GB,,International NGO,Food for the Hungry UK,
US-EIN-52-2135531,forest-trends,NGO,Forest Trends Association,, ,,,2021,US,,International NGO,Forest Trends Association,
GB-COH-3008440,fm,NGO,Forests Monitor,, ,,,#N/A,GB,,International NGO,Forests Monitor,
MY-SSM-1172311D,fs,NGO,Forever Sabah,, ,,,#N/A,MY,,National NGO,Forever Sabah,
UG-NGB-1277,fowode,NGO,forum for women in democracy,, ,,,2021,UG,,National NGO,forum for women in democracy,
BE-BCE_KBO-0416934803,fucid,NGO,Forum Universitaire pour la Coop̩ration Internationale au D̩veloppement -FUCID ASBL,, ,,,2021,BE,,National NGO,Forum Universitaire pour la Coop̩ration Internationale au D̩veloppement -FUCID ASBL,
GB-CHC-1121273,frankwater,NGO,FRANK Water,, ,,,#N/A,GB,,International NGO,FRANK Water,
NL-KVK-52957535,free_press_unlimited,NGO,Free Press Unlimited,, ,,,2020,NL,,International NGO,Free Press Unlimited,
NP-DAO-27-127/062/063,ff,NGO,Freedom Forum,, ,,,2013,NP,,National NGO,Freedom Forum,
GB-CHC-1142476,kipkelion,NGO,Friends of Kipkelion,, ,,,2018,KE,,Regional NGO,Friends of Kipkelion,
US-EIN-47-4128047,friendsofpwyf,NGO,Friends of Publish What You Fund,, ,,,2019,US,,International NGO,Friends of Publish What You Fund,
GB-CHC-281681,foe_ewni,NGO,"Friends of the Earth England, Wales and Northern Ireland",, ,,,2014,GB,,National NGO,"Friends of the Earth England, Wales and Northern Ireland",
NL-KVK-40535338,foei,NGO,Friends of the Earth International,, ,,,2021,NL,,International NGO,Friends of the Earth International,
GH-DSW-258,foe-ghana,NGO,Friends of the Earth-Ghana,, ,,,2015,GH,,National NGO,Friends of the Earth-Ghana,
GB-CHC-1038860,f-aids,NGO,Frontline AIDS,, ,,,2021,GB,,International NGO,Frontline AIDS,
CO-RUE-860049972,orientame,NGO,Fundaci�_n Ori̩ntame,, ,,,2018,CO,,National NGO,Fundaci�_n Ori̩ntame,
CR-RPJ-3-006-125548,fundacion-acceso,NGO,Fundacion Acceso,, ,,,2019,CR,,Regional NGO,Fundacion Acceso,
ZA-CIPC-2001/005850/08,gl,NGO,Gender Links,, ,,,#N/A,ZA,,Regional NGO,Gender Links,
BE-BCE_KBO-0472089102,geomoun,NGO,GEOMOUN ASBL,, ,,,2021,BE,,National NGO,GEOMOUN ASBL,
GB-COH-GB-COH-01846493,,,,,,,,,,,,,
GB-CHC-1154230,girlsnotbrides,NGO,Girls Not Brides: The Global Partnership to End Child Marriage,, ,,,2020,GB,,International NGO,Girls Not Brides: The Global Partnership to End Child Marriage,
NL-KVK-27302841,giro555,NGO,Giro555 (Stichting Samenwerkende Hulporganisaties),, ,,,2021,NL,,International NGO,Giro555 (Stichting Samenwerkende Hulporganisaties),
US-EIN-27-1661997,givedirectly,NGO,GiveDirectly,, ,,,2021,US,,International NGO,GiveDirectly,
NP-SWC-13712,gan,NGO,Global Action Nepal,, ,,,2017,NP,,National NGO,Global Action Nepal,
GB-CHC-1089110,globalcanopy,NGO,Global Canopy,, ,,,2021,GB,,International NGO,Global Canopy,
DK-CVR-35429867,globaltfokus,NGO,Global Focus,, ,,,2020,DK,,National NGO,Global Focus,
US-EIN-47-3594688,gfems,NGO,Global Fund to End Modern Slavery,, ,,,2021,US,,National NGO,Global Fund to End Modern Slavery,
US-EIN-27-3166994,giin,NGO,Global Impact Investing Network,, ,,,#N/A,US,,National NGO,Global Impact Investing Network,
GB-CHC-1171353,gif,NGO,Global Innovation Fund,, ,,,2020,GB,,International NGO,Global Innovation Fund,
NL-KVK-41214768,gnpplus,NGO,Global Network of People Living with HIV (GNP+),, ,,,2017,NL,,International NGO,Global Network of People Living with HIV (GNP+),
GB-COH-SC349355,nswp,NGO,Global Network of Sex Work Projects (NSWP),, ,,,2020,GB,,International NGO,Global Network of Sex Work Projects (NSWP),
XM-DAC-7-PPR-4000002938,gwp,NGO,Global Water Partnership,, ,,,#N/A,SE,,International NGO,Global Water Partnership,
GB-COH-02871809,globalwitness,NGO,Global Witness,, ,,,2021,GB,,International NGO,Global Witness,
US-EIN-300108263,globalgiving,NGO,GlobalGiving.org,, ,,,2021,US,,International NGO,GlobalGiving.org,
US-EIN-522042014,goodweave_intl,NGO,GoodWeave International,, ,,,#N/A,US,,International NGO,GoodWeave International,
NL-KVK-41217404,gppac,NGO,GPPAC Foundation,, ,,,2020,NL,,International NGO,GPPAC Foundation,
CA-CRA_ACR-811793611,hgc,NGO,Grand Challenges Canada,, ,,,2021,CA,,National NGO,Grand Challenges Canada,
AT-UID-U74408937,ground-truth-solutions,NGO,Ground Truth Solutions,, ,,,2020,AT,,International NGO,Ground Truth Solutions,
US-EIN-13-2890727,guttmacher,NGO,Guttmacher Institute,, ,,,2019,US,,International NGO,Guttmacher Institute,
GB-CHC-1143852,hagar_uk,NGO,Hagar International UK,, ,,,2016,GB,,International NGO,Hagar International UK,
GB-CHC-1117528,hha,NGO,Haiti Hospital Appeal,, ,,,2017,GB,,International NGO,Haiti Hospital Appeal,
ID-KHH-AHU-0013363.AH.01.04,,,,,,,,,,,,,
GB-CHC-1113868,handinhand,NGO,Hand in Hand International,, ,,,2018,GB,,International NGO,Hand in Hand International,
BE-BCE_KBO-0432235661,hib,NGO,Handicap International Belgique,, ,,,2021,BE,,National NGO,Handicap International Belgique,
FR-RCS-519655997,hi_fed,NGO,Handicap International Federation,, ,,,2021,FR,,International NGO,Handicap International Federation,
RW-RGB-77-RGB-NGO-2013,hdi,NGO,Health Development Initiative,, ,,,2020,RW,,National NGO,Health Development Initiative,
NL-KVK-34234456,hif,NGO,Health Insurance Fund,, ,,,2020,NL,,International NGO,Health Insurance Fund,
GB-CHC-1837621,hpa,NGO,Health Poverty Action,, ,,,2021,GB,,International NGO,Health Poverty Action,
NL-KVK-41211943,healthnet,NGO,HealthNet TPO,, ,,,2021,NL,,International NGO,HealthNet TPO,
GB-COH-4887855,hp_12,NGO,HealthProm,, ,,,2020,GB,,International NGO,HealthProm,
KE-NCB-218051200501953650,hri,NGO,Healthright International-Kenya,, ,,,#N/A,KE,,National NGO,Healthright International-Kenya,
US-EIN-30-0739799,ha-i,NGO,Heartland Alliance International,, ,,,#N/A,US,,International NGO,Heartland Alliance International,
ZA-NPO-013484,hsa,NGO,Heifer International South Africa,, ,,,2013,ZA,,National NGO,Heifer International South Africa,
NL-KVK-20093733,heifernederland,NGO,Heifer Nederland,, ,,,2015,NL,,National NGO,Heifer Nederland,
GB-COH-1762840,helpage_international,NGO,HelpAge International,, ,,,2020,GB,,International NGO,HelpAge International,
GB-CHC-1128267-8,ageintl,NGO,HelpAge International UK,, ,,,2021,GB,,National NGO,HelpAge International UK,
CH-FDJP-CHE105834763,hsi,NGO,Helvetas Swiss Intercooperation,, ,,,2020,CH,,International NGO,Helvetas Swiss Intercooperation,
XI-IATI-035026724,hwa-zm,NGO,Hilfswerk Austria Zimbabwe,, ,,,2017,ZW,,International NGO,Hilfswerk Austria Zimbabwe,
NL-KVK-41198677,stichting_hivos,NGO,Hivos,, ,,,2021,NL,,International NGO,Hivos,
