Donor,Region,year
Tanzania Red Cross National Society,,
ACT Alliance / DanChurchAid,,
Kenyan Red Cross Society,,
Ethiopian Red Cross Society,,
Djibouti Red Crescent Society,,
Medico International,,
ACT Alliance / Norwegian Church Aid,,
DIOTIMA Centre of research on Women's Issues,,
ACT Alliance / Diakonie Katastrophenhilfe,,
World Vision Taiwan,,
World Vision Australia,,
International Fund for Animal Welfare,,
Iraq Trust Fund (OCHA),,
INTERSOS Humanitarian Aid Organization,,
United Nations Voluntary Fund for Victims of Torture,,
Namibia Red Cross,,
Malawi Red Cross Society,,
Botswana Red Cross Society,,
Agency for Technical Cooperation and Development,,
War Child Holland,,
TEARFUND,,
Humanitarian Innovation Fund,,
Deutsche Welthungerhilfe e.V. (German Agro Action),,
Mercy Corps,,
World Poultry Foundation,,
National Council of Saemaul Undong Movement,,
Korean Church Federation of Support for North Korea,,
One Buddhism,,
Korea Food for the Hungry International,,
International Corn Foundation,,
National Coalition of NGOs for Inter-Korea Agricultural Development and Cooperation,,
The General Assembly of Presbyterian Church in Korea,,
Association of South-North Kang-Won Province Cooperation,,
21 Century Unification Service Organization,,
National Agricultural Cooperative Federation,,
GOAL,,
DOB Foundation,,
The Kvinna till Kvinna Foundation,,
Radiohjälpen (Radio Aid Sweden),,
EO Metterdaad,,
Christelijke Gereformeerde Kerken   (Christian Reform Churches),,
Caritas Japan,,
Caritas Italy,,
Canadian Catholic Organization for Development and Peace (Caritas Canada),,
Caritas Korea,,
Caritas Germany (DCV),,
Secours Catholique – Caritas France,,
ACT Alliance / World Renew,,
ACT Alliance / Christian Aid,,
Fonds Social de la République Démocratique du Congo,,
OXFAM,,
JT International Foundation,,
Arab League,,
Catholic Organisation for Relief and Development Aid,,
Associazione Volontari per il Servizio Internazionale,,
SOS Kinderdorf,,
Pope for Ukraine,,
TEAR Fund New Zealand,,
Mercy Corps Scotland,,
Practical Action (formerly Intermediate Technology Development Group),,
American Refugee Committee,,
World Relief,,
World Vision Sudan,,
OXFAM America,,
CARE International Switzerland in Sudan,,
Mission de l'Organisation des Nations Unies pour la Stabilisation en RD Congo,,
AlertNet,,
Dutch Relief Alliance,,
CE & S,,
Coin Co. International,,
Nigeria Humanitarian Fund,,
Intergovernmental Authority on Development,,
Relief International,,
action medeor e.V.,,
ACT Alliance / Church of Sweden,,
LEGO Foundation,,
CARITAS,,
Kulczyk Foundation,,
Fondation Internationale Carrefour,,
Humanity United,,
ACT Alliance / Finn Church Aid,,
Norwegian People's Aid,,
Light for the World,,
International Resources Group,,
Family Charitable Organisation,,
Associazione di Cooperazione allo Sviluppo,,
The Nando and Elsa Peretti Foundation,,
Baby Box Company,,
WFP Immediate Response Account,,
"Voice for Peace, Protection and Development",,
Al-Khair Foundation,,
Malteser International Order of Malta World Relief,,
Cooperazione Internazionale - COOPI,,
Japan Committee for Refugee Relief,,
Facebook,,
Office of the United Nations Special Coordinator for the Middle East Peace Process,,
ZOA,,
Moroccan Red Crescent,,
United Nations Office on Drugs and Crime,,
The Israel Forum for International Humanitarian Aid,,
Somali Diaspora Aid Action Group,,
Tear Australia,,
ACT Alliance,,
Dorcas Aid International,,
Communicating with Disaster Affected Communities,,
Education Cannot Wait Fund,,
Slovak Red Cross,,
World Vision New Zealand,,
World Mission Society Church of God,,
Pax Christi e.V,,
American Jewish World Service,,
Aid Development Botswana,,
ACT Alliance / United Methodist Committee on Relief,,
Secours Islamique France,,
King Abdullah Foundation,,
EZINGO Central African Republic Multi-Partner Trust Fund,,
UN Department of Economic and Social Affairs,,
Digicel Group,,
Interchurch Medical Assistance World Health,,
Bank of Ireland,,
Electric Aid,,
Mary's Meals,,
United Nations Environment Programme,,
ActionAid International,,
EPRO,,
UNICEF Croatia,,
Frontiers Ruwad Association,,
Population Services International,,
King Salman Humanitarian Aid and Relief Center,,
International NGO Safety Organisation,,
Preemptive Love Coaliton,,
GAVI Alliance,,
"Sunnaas sykehus HF, Forskningsavdelingen",,
REACH Initiative,,
Watan Khayr Charity Foundation,,
Ruedi Lüthy Foundation,,
Internews,,
"ACT Alliance / Diakonia, Sweden",,
Great Lakes Initiative Project HIV/AIDS,,
United Nations Foundation,,
Air Serv International,,
ACT Netherlands,,
Muslim Aid,,
Grupo de Apoio à Criança (GAC),,
British Council,,
Polish Red Cross,,
Operation USA,,
The Innocent Foundation,,
Development and Peace,,
United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic,,
ACT Alliance / Kerk in Actie - Netherlands,,
NoVo Foundation,,
Cook Islands Red Cross Society,,
Syrian Expatriates Medical Association,,
HEALTH AND WATER FOUNDATION,,
Plan USA,,
Oxfam Intermon,,
Nuestros Pequeños Hermanos,,
MEDAIR,,
ShelterBox,,
Syria Trust for Development,,
Johanniter Unfallhilfe e.V.,,
Japan Platform,,
Fondation Caritas Luxembourg,,
Kuwait Foundation for the Advancement of Science,,
UNICEF National Committee/Mexico,,
Deutsche Bank AG,,
World Vision Somalia,,
Brother's Brother Foundation,,
Aga Khan Foundation,,
Evangelical Lutheran Church in America,,
Heinrich Böll Foundation,,
Palestine Right to Return Coalition,,
National Council of Churches in Australia,,
Gruppo Volontariato Civile,,
ACT Alliance / United Church of Canada,,
HEKS - Hilfswerk der Evangelischen Kirchen Schweiz,,
ACT Alliance / Diakonie Austria,,
The Religious Society of Friends (Quakers),,
ACT Alliance / Bread for the World,,
Methodist Church,,
Diana Tamari Sabbagh Foundation,,
Misereor,,
Trocaire,,
Médecins sans Frontières - Belgium,,
People in Need,,
Qawafil for Relief and Development,,
Mission Aviation Fellowship,,
Bloomberg,,
Malaysia Red Crescent Society,,
Sheikh Abdullah Al-Nouri Charity Society,,
Gilead Sciences Inc,,
Pan American Development Foundation,,
Pakistan Red Crescent Society,,
OXFAM International,,
Stichting War Child,,
Solidarités International (SI),,
ACT Alliance / Church World Service,,
Ole Kirk’s Foundation,,
Burundi Red Cross,,
International Youth Foundation,,
TechnipFMC,,
South32,,
Nous Cims,,
The Resource Foundation,,
Doctors of the World Turkey ( Dünya Doktorları Derneği ),,
Organization of American States,,
Telecom Sans Frontieres,,
Secours Islamique,,
Red Cross of Serbia,,
Hungarian Red Cross,,
Croatian Red Cross,,
Crown Agents,,
Global Food Crisis Fund,,
Thani Bin Abdullah Bin Thani Al-Thani Humanitarian Fund,,
Movement Centre of Jeju Citizen to Cooperation between South and North,,
Korea Campus Crusade for Christ,,
Presbyterian Church of Korea,,
Disasters Emergency Committee Cyclone Idai,,
Aktion Deutschland Hilft,,
ACT Alliance / Canadian Lutheran World Relief,,
NIRAS,,
Diocese of Rumbek,,
IMPACT Initiatives,,
Frantz Hoffman Foundation,,
JP Morgan Chase,,
European Investment Bank,,
Base Net Organization,,
The Church of Jesus Christ of Latter-Day Saints,,
UNICEF National Committee/Malaysia,,
UNICEF Brazil,,
Première Urgence Internationale,,
"Consortium for Southern Africa Food Security Emergency (World Vision, CARE, CRS, & ADRA)",,
Leopold Bachmann Foundation,,
Hilti Foundation,,
Bündnis Entwicklung Hilft,,
World Vision Canada,,
World Vision USA,,
BRITISH ORG. FOR MEDICAL AND SCIENTIFIC ASSISTANCE,,
Global Partnership for Education,,
Médecins du Monde France,,
Children International,,
UNITED NATIONS - AFRICAN UNION HYBRID OPERATION IN DARFUR,,
RONCO Consulting Corporation,,
RMS Foundation,,
ADRA/HELP International,,
Humanitarian Grand Challenge,,
HALO Trust,,
Association for Aid and Relief Japan,,
Swasia Charity Foundation,,
Alliance for International Medical Action,,
Première Urgence (until 2010),,
Wellspring International,,
War Child Canada,,
UN Delivering AS ONE,,
Centre for Humanitarian Dialogue,,
Action Against Hunger,,
Women's Refugee Commission,,
ACT Alliance / Diakonie Emergency Aid,,
ACT Alliance / Diakonie,,
UBS,,
ZAYED Foundation,,
ST. ANDREWS SOCIETY,,
Voluntary Service Overseas,,
Association for People's Cooperation between South and North Korea,,
Children on the Edge,,
Street Child Organization,,
UNICEF National Committee/Chile,,
The Pacific Community (former South Pacific Commission),,
OXFAM Australia,,
Conrad N. Hilton Foundation,,
Manos Unidas,,
Fundación Entreculturas - Fe y Alegría,,
Misean Cara,,
UK Jesuit Missions,,
Spanish Jesuit Missions,,
Global Communities,,
African Humanitarian Corps,,
Syria Relief and Development Organization (Sosyal Refah Derneğı),,
Syrian American Medical Society Foundation,,
Center for Victims of Torture,,
Global Center on Cooperative Security,,
CARE Somalia,,
World Church Relief Service,,
"BlackRock, Inc.",,
Bolton Group,,
CanDO Transforming Humanitarian Action,,
Saga Falabella,,
DWF,,
Kuwait Patients Helping Fund,,
Humanitarian Relief Society,,
War Child,,
Sign of Hope,,
IOM Development Fund,,
Multinational Interim Force,,
Colombia Post-Conflict UN MPTF,,
Fondation Chanel,,
