Recipient.Organization,ngotype,year
ABAAD-Resource Center for Gender Equality,National NGO,
Himaya Daee Aataa Association,National NGO,
Mines Advisory Group,International NGO,
OXFAM International,International NGO,
World Rehabilitation Fund,International NGO,
René Moawad Foundation,National NGO,
Relief and Humanitarian Aid Organisation in Dar al Fatwa,National NGO,
Mena Organization for Services Advocacy integration and Capacity Building,Southern International NGO,
Fundacion Promocion Social de la Cultura,International NGO,
Business Incubation Association in Tripoli,National NGO,
Qatar Charity,Southern International NGO,
World Vision Sudan,Internationally affiliated NGO,
Swedish and Norwegian Ecumenical Accompaniment Programme in Palestine and Israel,International NGO,
Cooperazione per lo Sviluppo dei Paesi Emergenti - COSPE,International NGO,
Istituto Oikos onlus,International NGO,
Centro Sviluppo Terzo Mondo Onlus,International NGO,
Associazione Solidarietí  e lo Sviluppo - Confederazione Italiana Agricoltori,National NGO,
Heartland Alliance International,International NGO,
International Catholic Migration Commission,International NGO,
World Vision Ireland,International NGO,
International Centre for Transitional Justice,International NGO,
Caritas Norway,International NGO,
International Humanitarian Relief,International NGO,
Centro Internazionale per l'Infanzia e la Famiglia,International NGO,
Associazione Volontari per il Servizio Internazionale,International NGO,
Ente Nazionale Giuseppini del Murialdo,International NGO,
Emergency ONG,International NGO,
Habitat for Humanity International,International NGO,
International Orthodox Christian Charities,International NGO,
International Relief and Development,International NGO,
HelpAge International,International NGO,
Un Ponte Per,International NGO,
Jordan Health Aid Society,Southern International NGO,
"Movimiento por la Paz, el Desarme y la Libertad",International NGO,
Nippon International Cooperation for Community Development,International NGO,
Questscope,Southern International NGO,
Plan Niger,Internationally affiliated NGO,
Tanganyika Christian Refugee Service,National NGO,
Water Missions International,International NGO,
Smile Again Africa Development Organization,National NGO,
Medica Mondiale,International NGO,
Eng Oppen Hand fir Malawi,International NGO,
Development and Inter-Church Aid Commission,National NGO,
ACBAR - Agency Coordinating Body for Afghan Relief,National NGO,
RET International (Former The Foundation for the Refugee Education Trust till 2014),International NGO,
Associazione Italiana per la Solidarietí  tra I Popoli,International NGO,
International Aid Services,International NGO,
Salvation Army,International NGO,
Hilfswerk Liechtenstein,International NGO,
Terre des Hommes - Lausanne,International NGO,
AiBi Associazione Amici dei Bambini,International NGO,
"Movimiento Por La Paz, El Desarme Y La Libertad, (E)",International NGO,
Association des Femmes pour la Promotion de l'Entreprenariat,Local/National NGO,
Association pour le développement de M'Bres,National NGO,
Caritas Centrafricaine,National NGO,
Fondation Suisse pour le Déminage,International NGO,
Main dans la Main pour l'Assistance Humanitaire et le Développement Durable,National NGO,
Person in Need Relief Mission,National NGO,
Women's Evangelical Association of Bossangoa,Local/National NGO,
Vitalité Plus,Local NGO,
Habitat for Humanity Fiji,Internationally affiliated NGO,
World Vision Australia,International NGO,
Syria Relief,International NGO,
Plan USA,International NGO,
Praktisk Solidarites,International NGO,
ZIF - Center for International Peace Operations,International NGO,
Comitato Internationale per lo Sviluppo dei Popoli,International NGO,
LandsAid e.V.,International NGO,
Alsalam Organization for Rehabilitation and Development,Local/National NGO,
Jesuit Refugee Service,International NGO,
Cultivating New Frontiers in Agriculture,International NGO,
Pharmaciens sans frontières (PSF),International NGO,
Friendship Luxembourg,International NGO,
Life Makers Meeting Place Organization,Local NGO,
Abs Development for Women and Children,National NGO,
Al-Atta Institution for Social Development and Charity,National NGO,
Charitable Society for Social Welfare,National NGO,
The Humanitarian Forum Yemen,National NGO,
Yemen Family Care Association,National NGO,
National Foundation for Development and Human Rights,National NGO,
Evangelisches Werk für Diakonie und Entwicklung e.V.,International NGO,
Fonds dIntervention pour le Développement,National NGO,
Danish Mission Council Development,International NGO,
Economic & Social Development Centre of Palestine,National NGO,
Palestinian Agricultural Relief Committees,National NGO,
Mission Aviation Fellowship,International NGO,
Asia Humanitarian Organization,National NGO,
Comprehensive Health and Education Forum International,Southern International NGO,
Foundation for Rural Development,National NGO,
Frontier Organization for Reforms and Transformation,Local NGO,
Humanitarian Organization for Poverty Elimination,Local NGO,
Kamore Development Welfare Organization,National NGO,
Khwendo Kor,National NGO,
Pakhtunkhwa Rural Support Program,Local NGO,
LASOONA - Society for Human and Natural Resource Development,National NGO,
Pakistan Village Development Program,National NGO,
Participatory Rural Development Society,Local NGO,
Peoples Empowerment and Consulting Enterprise,Local NGO,
Philanthrope,National NGO,
Poverty Alliance Welfare Trust,National NGO,
Prime Foundation,National NGO,
Sanjh Preet Organization,National NGO,
Sarhad Rural Support Programme,Local NGO,
Society for Appraisal and Women Empowerment in Rural Areas,Local NGO,
Women Concerns Organization,Local NGO,
Women Empowerment Organization,Local NGO,
RABT Development Organization,Local NGO,
Solidarites-France,International NGO,
Gaza Community Mental Health Programme,Local NGO,
Lamset Shifa,Local/National NGO,
Jordan paramedic society,National NGO,
Syria Relief and Development,International NGO,
Caritas Lebanon Migrants Center,National NGO,
Rebuild Iraq Recruitment Program,International NGO,
Fundación Halu Bienestar Humano,Local NGO,
AISHA Association for Woman and Child Protection,National NGO,
Czech Evang. Diacony,International NGO,
Canadian Food Grains Bank,International NGO,
Secours Catholique - Caritas France,International NGO,
Tahaddi & Apprentis d'Auteuils,International NGO,
OVERSEAS-Onlus,International NGO,
EducAid Onlus,International NGO,
International Campaign to Ban Landmines,International NGO,
Protecting Through Education,International NGO,
African Development Solutions,Southern International NGO,
InterAction,International NGO,
Norwegian Refugee Council/CARDI,International NGO,
Rural Development Initiative South Sudan,National NGO,
Associazione Centro Aiuti Volontari Cooperazione Sviluppo Terzo Mondo,International NGO,
Caritas New Zealand,International NGO,
TEAR Fund New Zealand,International NGO,
CARE USA,International NGO,
ITF,International NGO,
Shelter Centre,International NGO,
Al Ihsan NGO,Local NGO,
Interchurch Medical Assistance World Health,International NGO,
CARE Haiti,Internationally affiliated NGO,
Organization for Voluntary Humanitarian Assistance Programme,National NGO,
NGO Coordination Committee for Iraq,National NGO,
The Coalition Of Humanitarian Relief,Local NGO,
Reseau des Entrepreneurs Solidaires,International NGO,
Handicap International Belgium,International NGO,
MAGNA Medical and Nutrition Global Aid,International NGO,
"Rehabilitation, Education And Community Health",National NGO,
Siriri,International NGO,
Search for Common Ground,International NGO,
Hebrew Immigrant Aid Society,International NGO,
Global Communities,International NGO,
MapAction,International NGO,
Reseau National des droits humains,National NGO,
DIOTIMA Centre of research on Women's Issues,National NGO,
HSA Humanitarian Support Agency,International NGO,
J/P Haitian Relief Organization,International NGO,
Christoffel-Blindenmission,International NGO,
Team Rubicon,International NGO,
Plan Zimbabwe,Internationally affiliated NGO,
Libraries without Borders,International NGO,
Network for Children's Rights,National NGO,
Translators without Borders,International NGO,
The Engineering Association for Development and Environment,Local NGO,
Action for Development,Southern International NGO,
Afghan Health & Development Services,National NGO,
Afghanistan Center for Training and Development,National NGO,
Agency for Assistance and Development of Afghanistan,National NGO,
Coordination of Afghan Relief,National NGO,
Organization for Research and Community Development,Southern International NGO,
HealthNet International Transcultural Psychosocial Organization,International NGO,
Afghan Planning Agency,National NGO,
Youth Health & Development Organization,National NGO,
MRCA - Medical Refresher Course for Afghan,International NGO,
Mine Detection Centre,National NGO,
Metta Development Foundation,National NGO,
Organisation for Mine Clearance and Afghan Rehabilitation / Mine Detection Dog Centre,National NGO,
Human Resources Development Agency,National NGO,
Engineers Without Borders,International NGO,
EliseCare,International NGO,
Centre canadien d'étude et de coopération internationale (CECI),International NGO,
World Vision Ethiopia,Internationally affiliated NGO,
Pan American Development Foundation,International NGO,
Stichting ZOA,International NGO,
Doctors Aid Medical Activities,Local NGO,
Mercy Hands for Humanitarian Aid,National NGO,
Representative of Nineveh Voluntary for Internally Displaced Persons Organization,National NGO,
Sante Sud,International NGO,
The Israel Forum for International Humanitarian Aid,Southern International NGO,
Barzani Charity Foundation,Local NGO,
Kuwaiti Yemeni Relief,Southern International NGO,
The Haven Community Foundation,International NGO,
CARE International Switzerland in Sudan,Internationally affiliated NGO,
War Child Canada,International NGO,
World Concern Development Organization,International NGO,
Dutch Relief Alliance,International NGO,
URBAN REFUGEES,International NGO,
ACT Alliance / Church World Service,International NGO,
Impact Health Organization,National NGO,
Caritas Austria,International NGO,
World University Service - Canada,International NGO,
FilmAid International,International NGO,
Rural Community Action for Peace and Development,National NGO,
ACT Alliance / Lutheran World Relief,International NGO,
Women's Refugee Commission,International NGO,
Young Mens Christian Association,International NGO,
Centro de Estudios y Prevencion de Desastres,National NGO,
John Dau Foundation,International NGO,
Lanka Jatika Sarvodaya Shramadana Sangamaya,National NGO,
Center for Education and Development,Local NGO,
Nutrition Action Zimbabwe,Local NGO,
Organisation of Rural Associations for Progress,National NGO,
Heart to Heart International,International NGO,
United Peace Organization,National NGO,
JASMAR Human Security Organization,National NGO,
Plan Sudan,Internationally affiliated NGO,
Darfur Development and Reconstruction Agency (DDRA),National NGO,
Almanar Voluntary Organization,Local NGO,
Labena Organization for Women Development Aid Capacity Building,National NGO,
Sustainable Action Group,National NGO,
FPDO,National NGO,
Kuwait Patients Helping Fund,Southern International NGO,
El Ruhama Organization for Development and Humanitarian Aid,National NGO,
Panhealth Care Organization,Local NGO,
Almassar Charity organization for Nomads Development and Environmental Conservation,National NGO,
"Anhar for Peace, Development and Humanitarian Work Organization",National NGO,
Kabakabiya Smallhoders Charitable Society,National NGO,
National Demining Units Organization,National NGO,
Nada Elazhar for Disaster Prevention and Sustainable Development,National NGO,
ACT Alliance / United Methodist Committee on Relief,International NGO,
Global Aid Hand,National NGO,
Peoples' Organization for Development and Rehabilitation,Local/National NGO,
Zulfa Development and Peace Organization,Local/National NGO,
Cooperation for Development Organization,National NGO,
Fondation Humanitaire Internationale AICM Ukraine,International NGO,
Geneva International Centre for Humanitarian Demining,International NGO,
Auranitis Life Line for development and training,Southern International NGO,
Kachin Baptist Convention,National NGO,
Humanitarian Initiative Just Relief Aid Organization,Southern International NGO,
Myanmar Nurse and Midwife Association,National NGO,
Skills Active Forward,International NGO,
Somali Aid Foundations,Local NGO,
Southern Aid,Southern International NGO,
Health Action Aid,National NGO,
Sustainable Development and Peace Building Initiatives,National NGO,
Wamo Relief and Rehabilitation Services,Southern International NGO,
Danchurchaid / Danish De-mining Group,International NGO,
Mercy Malaysia,Southern International NGO,
Nyein (Shalom) Foundation,Local NGO,
Ratana Metta Organization,National NGO,
Iraqi Al-Mortaqa Foundation for Human Development,National NGO,
World Vision Niger,Internationally affiliated NGO,
action medeor e.V.,International NGO,
Action Contre la Pauvreté (ACP),National NGO,
Actions et Interventions pour le Développement et l'Encadrement Social,Local NGO,
Crisis Action,International NGO,
CARE Norway,International NGO,
Sorouh for Sustainable Development Foundation,National NGO,
Iraq Health Access Organization,National NGO,
Maarouf Saad Social and Cultural Foundation,National NGO,
National Institution of Social Care & Vocational Training,National NGO,
Première Urgence Internationale,International NGO,
RedR,International NGO,
"Social, Humanitarian, Economical Intervention for Local Developmen",National NGO,
Development and Ability Organization,National NGO,
Safadi Foundation,National NGO,
UTOPIA Organization,National NGO,
Mercy-USA for Aid and Development,International NGO,
Doctors of the World,International NGO,
ACT Alliance / Christian Aid UK,International NGO,
Americares,International NGO,
Physicians Across Continents,International NGO,
Africa Humanitarian Action,Southern International NGO,
World Vision Chad,Internationally affiliated NGO,
Somalia Resilience Program,International NGO,
Community Development Association,National NGO,
World Vision Zimbabwe,Internationally affiliated NGO,
Haitian Health Foundation,International NGO,
Nahda Makers Organization,Local NGO,
National Foundation for Development and Humanitarian Response,National NGO,
Yemeni Development Network for NGOs,National NGO,
Action d'Espoir,National NGO,
Actions Concrète pour la Protection de l'Enfance,Local NGO,
African Initatives for Relief and Development,Southern International NGO,
Association des jeunes pour le développement communautaire,National NGO,
Corporación Infancia y Desarrollo (CID),National NGO,
Secretariado Diocesano de Pastoral Social,Local NGO,
AVREO,Local/National NGO,
CAMPS/CELPA,Local/National NGO,
Centre de Développement Intégral pour lEnfant Rural,National NGO,
Centre de Promotion Socio-Sanitaire,Local NGO,
NGO Mondo,International NGO,
Collectif Alpha Ujuvi (CAU),Southern International NGO,
Federation Handicap International. Direction Aide Humanitaire,International NGO,
Groupe La Colombe,National NGO,
International Emergency and Development Aid,International NGO,
Centre for Peace and Democracy,International NGO,
Formal Education Network for Private Schools,National NGO,
Rebuild Hope for Africa,Local NGO,
Women and Children Child Care Organization,National NGO,
Roles for Social Change Association,National NGO,
CTM,International NGO,
Community World Service Asia,Southern International NGO,
United Iraqi Medical Society for Relief & Development,National NGO,
Lutherian World Fund,International NGO,
Enjaz foundation for development,Local NGO,
"IHH-Humanitarian Relief Foundation, Turkey",Southern International NGO,
Sama Al-Yemen Development Foundation,Local NGO,
Syria Civil Defence,National NGO,
American Near East Refugee Aid,International NGO,
Comite Catholique contre la faim,International NGO,
Order of Malta Lebanon,International NGO,
Secours Populaire Francais,International NGO,
Women Now for Development,International NGO,
Japan Campaign for Children of Palestine,International NGO,
Child Care Society,National NGO,
Monastery Saint James the Mutilated,Local NGO,
ONG Rescate International,International NGO,
SOS Children's Villages,International NGO,
Friendship,National NGO,
"Ayuda, Intercambio y Desarrollo",International NGO,
Asociación de Trabajadores y Tecnicos Sin Fronteras,International NGO,
Centro de Estudios Rurales y de Agricultura Internacional,International NGO,
Fundación Ojos del Mundo,International NGO,
Verein Bär und Leu,International NGO,
Helvetas Swiss Intercooperation,International NGO,
International Youth Council - Yemen,Internationally affiliated NGO,
Solidarmed,International NGO,
Kreuz des Südens,International NGO,
World Vision New Zealand,International NGO,
Shanti Volunteer Association,International NGO,
SDGs Promise Japan,International NGO,
Karuna Myanmar Social Services,National NGO,
Myittar Resource Foundation,National NGO,
Rotary International,International NGO,
Aweil Window of Opportunities and Development Agency,Local/National NGO,
Direct Focus Community Aid,National NGO,
KAFA Enough Violence and Exploitation,National NGO,
Basmeh and Zeitooneh for Relief and Development - Gülümseme ve zeytin,Southern International NGO,
War Child Holland,International NGO,
International Trust Fund for Demining and Victim Assistance,International NGO,
Action for Relief and Development,Southern International NGO,
SomaliAid,National NGO,
Somali Development and Rehabilitation Organisation,National NGO,
Wardi Relief and Development Initiatives,Southern International NGO,
Somali Organic Agriculture Development Organization,National NGO,
Save Somali Women and Children,National NGO,
DEH Relief and Development Organization,National NGO,
ACT Alliance / Diakonie Emergency Aid,International NGO,
Health Poverty Action,International NGO,
NCA+partners,International NGO,
Lay Volunteers International Association,International NGO,
Volontariato Internazionale per lo Sviluppo,International NGO,
Palestinian Medical Relief Society,National NGO,
ArmandoAid,International NGO,
Emergency Response Centre International,National NGO,
Faros Organizaton,National NGO,
Filoxenia International,National NGO,
NGO Atina - Citizens Association for Combating Trafficking in Human Beings and all Forms of Gender-based Violence,National NGO,
Initiative for Development and Cooperation,National NGO,
Gruppo per le Relazioni Transculturali,International NGO,
Zamzam Foundation,National NGO,
LOVASOA,Internationally affiliated NGO,
Islamic Relief Pakistan,Internationally affiliated NGO,
ACF - Canada,Internationally affiliated NGO,
International Children's Action Network,International NGO,
African Disability Association,Southern International NGO,
Agricultural Development Organisation,National NGO,
Golweyne Relief and Rehabilitation,Local NGO,
Social Life and Agricultural Development Organisation,Southern International NGO,
Somali Transformation Group,Local NGO,
Salama Medical Agency,Local NGO,
Aid Vision,Local NGO,
Ihsan for Relief and Development,Southern International NGO,
Japan Agency for Development and Emergency,International NGO,
Alyateem Development Foundation,Undefined NGO,
Al Khair Relief Development Foundation,International NGO,
United Purpose (formerly known as Concern Universal),International NGO,
International Aid Network,National NGO,
Nurture Project International,International NGO,
Armadilla S.c.s. Onlus,International NGO,
Rescue Team International,National NGO,
Schönstätter Marienschwestern,International NGO,
Ruedi Lüthy Foundation,International NGO,
Association du Centre de Santé de Musongati,International NGO,
Caritas Peru,National NGO,
International Media Support,International NGO,
Voluntary Organisations in Cooperation in Emergencies,International NGO,
Middle East Childrens Institute,International NGO,
Right to Play,International NGO,
Chavin Organization for the Care of Children,Local/National NGO,
Harikar NGO,National NGO,
Action Africa Help International,Southern International NGO,
Association Medina,International NGO,
Samusocial International,International NGO,
Support to Life,National NGO,
Action Against Hunger,International NGO,
Associazione Amici dellOasis Togo,International NGO,
Médecins du Monde Canada,Internationally affiliated NGO,
Street Children Aid,National NGO,
Afro-Canadian Evangelical Mission,National NGO,
Tawa Organization for Civil Development,Local/National NGO,
Benevolence Coalition For Humanitarian Relief,National NGO,
Wethaq Foundation for Civil Orientation,National NGO,
Community Aid for Relief and Development,National NGO,
Al-Badyah Charitable Foundation,Undefined NGO,
Help Restore Youth South Sudan,National NGO,
Community Aid for Fisheries and Agriculture Development,National NGO,
Children Aid South Sudan,National NGO,
Africa Development Aid,National NGO,
Centre for Emergency and Development Support,International NGO,
Humanitarian Quality Assurance Initiative,International NGO,
HOPE87 - Hundreds of Original Projects for Employment,International NGO,
Center for Diversity and National Harmony,National NGO,
Geneva Call,International NGO,
Abo Mousa Alashary Social Charitable Association,National NGO,
Center for the Defence of the Individual,Southern International NGO,
MA'AN Development Center,National NGO,
NGO Development Center,Southern International NGO,
Palestinian Al Nakheel Association for Progress and Development,National NGO,
Palestinian Center for Human Rights,National NGO,
Union of Health Work Committees,National NGO,
Mercy Corps Scotland,International NGO,
Peace Bridge Association,National NGO,
Sudanese Organization for Relief and Recovery (formerly Sudanese Organization for Rehabilitation and Construction),National NGO,
African Volunteers for Relief and Development,National NGO,
Armée du Salut Kalemie,Internationally affiliated NGO,
"Association des Volontaires pour la Recuperation des Enfants Orphelins,Abandonnés,Déplacés et Mal",National NGO,
Save Congo,National NGO,
AMAR International Charitable Foundation,International NGO,
Help The Needy,International NGO,
SOS Sahel Ethiopia,Internationally affiliated NGO,
METAdrasi - Action for Migration and Development,National NGO,
Start Point,Southern International NGO,
Shaqodoon Organization,National NGO,
Action Mopti,International NGO,
Initiative for Rural Empowerment,Local NGO,
ACT Alliance / World Renew,International NGO,
Habitat for Humanity Ethiopia,Internationally affiliated NGO,
Sarvodaya Shramadana Movement,National NGO,
