Recipient.Organization,recipientcodename,year
United Nations Humanitarian Response Depot,UN Multi,
United Nations Department of Safety and Security,UN Multi,
Oficina Panamericana de la Salud,UN Multi,
United Nations Joint Programme on HIV/AIDS,UN Multi,
World Meteorological Organization,UN Multi,
UNDP Administered Trust Fund,UN Multi,
UNICEF National Committees,UN Multi,
Office of the Humanitarian Coordinator,UN Multi,
UN GENERAL TRUST FUND,UN Multi,
UN Trust Fund,UN Multi,
United Nations Economic and Social Commission for Asia and the Pacific,UN Multi,
UN Peacebuilding Fund,UN Multi,
United Nations,UN Multi,
Japanese Red Cross Society,red cross,
United Nations Institute for Training and Research,UN Multi,
United Nations Operation Programme Support,UN Multi,
United Nations Environment Programme,UN Multi,
Global Compact,UN Multi,
United Nations Office on Drugs and Crime,UN Multi,
Relief and Recovery Unit - Zimbabwe,UN Multi,
United Nations Disaster Assessment and Coordination,UN Multi,
UNDP for UNDSS,UN Multi,
UN Resident Coordinator's Office,UN Multi,
United Nations Mission in Ethiopia and Eritrea,UN Multi,
UN Action Against Sexual Violence in Conflict,UN Multi,
International Bank for Reconstruction & Development (World Bank),UN Multi,
United Nations Development Fund for Women,UN Multi,
Resident Coordinators Support Office,UN Multi,
UN Mission for Ebola Emergency Response,UN Multi,
International Civil Aviation Organisation,UN Multi,
United Nations Assistance Mission for Afghanistan,UN Multi,
War Torn Societies,UN Multi,
UN Women's Guild,UN Multi,
United Nations Global Pulse,UN Multi,
United Nations Institute for Disarmament Research,UN Multi,
UN Department of Economic and Social Affairs,UN Multi,
United Nations Disaster Management Team,UN Multi,
United Nations Volunteers Programme,UN Multi,
UNICEF National Committee/Spain,UN Multi,
United Nations Department of Peace-Keeping Operations,UN Multi,
UNRWA Spanish Committee,UN Multi,
ONUA - HRD,UN Multi,
United Way of Miami-Dade,UN Multi,
United Nations Mission of Support in East Timor,UN Multi,
Special Representative of the Secretary-General,UN Multi,
United Nations Foundation,UN Multi,
Trust Fund for Human Security,UN Multi,
United Nations Voluntary Trust Fund for Victims of Trafficking in Persons,UN Multi,
UNICEF National Committee/United Kingdom,UN Multi,
United Nations Humanitarian Air Service | World Food Programme,UN Multi,
Arab Gulf Programme for United Nations Development Organizations,UN Multi,
World Food Programme | Food & Agriculture Organization of the United Nations,UN Multi,
World Food Programme | United Nations Humanitarian Air Service,UN Multi,
Global Fire Monitoring Centre,UN Multi,
United Nations Verification and Inspection Mechanism for Yemen,UN Multi,
United Nations Operational Satellite Applications Programme,UN Multi,
Food & Agriculture Organization of the United Nations | World Food Programme,UN Multi,
UN Economic Commission for Latin America,UN Multi,
Multi-Partner Trust Fund,UN Multi,
Multinational Interim Force,UN Multi,
United Nations Joint Logistics Centre,UN Multi,
United Nations Transitional Authority in East Timor,UN Multi,
United Nations International Drug Control Programme,UN Multi,
UN Mine Action Program,UN Multi,
World Conference on Disaster Reduction,UN Multi,
Millenium Project Hunger Task Force,UN Multi,
Espana con ACNUR,UN Multi,
UN Voluntary Fund for Indigenous Populations,UN Multi,
United Nations Office in Burundi,UN Multi,
"United Nations Mission in the DRC (Mission d'Observation des Nations Unies au Congo, MONUC)",UN Multi,
United Nations Advance Mission in Sudan,UN Multi,
United Nations Special Court for Sierra Leone,UN Multi,
United Nations Mission in Sudan,UN Multi,
United Nations Observer Mission in Georgia,UN Multi,
Office of the Resident and Humanitarian Coordinator,UN Multi,
United Nations Integrated Office in Sierra Leone,UN Multi,
United Missions Mission in Liberia Irish Battalion,UN Multi,
UN Voluntary Trust Fund for Technical Cooperation,UN Multi,
International Maritime Organization,UN Multi,
United Nations Mediation Support Unit,UN Multi,
United Nations Mine Action Coordination Center (DRC),UN Multi,
UN Human Security Trust Fund,UN Multi,
United Nations Committee on Missing Persons,UN Multi,
UN Technical Cooperative Activities,UN Multi,
United Nations Humanitarian Information Centre,UN Multi,
UNDG Iraq Trust Fund,UN Multi,
UN Mission in Sierra Leone,UN Multi,
Geneva Forum,UN Multi,
United Nations International Research and Training Institute for the Advance of Women,UN Multi,
UN Committee on Missing Persons,UN Multi,
UN Institute,UN Multi,
International Fund for Agricultural Development,UN Multi,
Coordinating Action on Small Arms,UN Multi,
Global Alliance for Improved Nutrition,UN Multi,
U.N. Mission in the Central African Republic and Chad (MINURCAT),UN Multi,
MINUSTAH,UN Multi,
SMU - Strategic Monitoring Unit (Afghanistan),UN Multi,
International Telecommunications Union,UN Multi,
United Nations Political Office for Somalia,UN Multi,
United Nations Office of Legal Affairs,UN Multi,
Bureau des Nations Unies en Centrafrique (United Nations Peace-Building Support Office in CAR),UN Multi,
Human Rights Division of the United Nations Mission in Angola,UN Multi,
United Nations Office for Disarmament Affairs,UN Multi,
United Nations Disengagement Observer Force,UN Multi,
United Nations Voluntary Trust Fund on Contemporary Forms of Slavery,UN Multi,
United Nations Angola Verification Mission,UN Multi,
United Nations Corps of Guards in Iraq,UN Multi,
World Food Programme | United Nations Relief and Works Agency for Palestine Refugees in the Near East | United Nations High Commissioner for Refugees,UN Multi,
United Nations Children's Fund | International Organization for Migration | World Food Programme,UN Multi,
Indian Red Cross Society,red cross,
United Nations Children's Fund | World Food Programme | International Organization for Migration,UN Multi,
United Nations Partnership on the Rights of Persons with Disabilities,UN Multi,
United Nations Children's Fund | World Food Programme,UN Multi,
Ethiopian Red Cross Society,red cross,
International Federation of Red Cross and Red Crescent Societies,red cross,
International Committee of the Red Cross,red cross,
Turkish Red Crescent Society,red cross,
Norwegian Red Cross,red cross,
Malawi Red Cross Society,red cross,
Netherlands Red Cross,red cross,
German Red Cross,red cross,
Philippine Red Cross,red cross,
Luxembourg Red Cross,red cross,
Australian Red Cross,red cross,
Palau Red Cross Society,red cross,
Danish Red Cross,red cross,
Red Crescent Society of the United Arab Emirates,red cross,
IFRC Disaster Relief Emergency Fund,red cross,
Uganda Red Cross Society,red cross,
Swedish Red Cross,red cross,
Czech Red Cross,red cross,
Spanish Red Cross,red cross,
French Red Cross,red cross,
Algerian Red Crescent,red cross,
Kenyan Red Cross Society,red cross,
Libya Red Crescent,red cross,
Croix-Rouge du Tchad,red cross,
Mozambique Red Cross Society,red cross,
Kuwait Red Crescent Society,red cross,
British Red Cross,red cross,
Canadian Red Cross Society,red cross,
Belgian Red Cross,red cross,
Jordan National Red Crescent Society,red cross,
Lebanese Red Cross,red cross,
Red Cross Society of Bosnia and Herzegovina,red cross,
Croix Rouge Katanga,red cross,
Fiji Red Cross Society,red cross,
Sudanese Red Crescent,red cross,
Finnish Red Cross,red cross,
Red Cross Society of China,red cross,
American Red Cross,red cross,
Austrian Red Cross,red cross,
Papua New Guinea Red Cross Society,red cross,
Samoa Red Cross Society,red cross,
Solomon Islands Red Cross,red cross,
Qatar Red Crescent Society,red cross,
Syrian Arab Red Crescent,red cross,
Honduran Red Cross,red cross,
Armenian Red Cross Society,red cross,
Red Cross of Viet Nam,red cross,
Swiss Red Cross,red cross,
Nicaraguan Red Cross,red cross,
Singapore Red Cross Society,red cross,
Bulgarian Red Cross,red cross,
Albanian Red Cross,red cross,
Croatian Red Cross,red cross,
Russian Red Cross Society,red cross,
Salvadorean Red Cross Society,red cross,
Thai Red Cross Society,red cross,
Estonia Red Cross,red cross,
Slovenian Red Cross,red cross,
Mexican Red Cross,red cross,
Burundi Red Cross,red cross,
Cameroon Red Cross Society,Red Cross,
Moroccan Red Crescent,red cross,
Colombian Red Cross Society,red cross,
Tonga Red Cross Society,red cross,
Indonesian Red Crescent Society,red cross,
Palestine Red Crescent Society,red cross,
Liberian Red Cross Society,red cross,
Italian Red Cross,red cross,
Ukrainian Red Cross Society,red cross,
Latvian Red Cross,red cross,
Cambodian Red Cross,red cross,
Nepal Red Cross Society,red cross,
Red Cross of Serbia,red cross,
Nigerian Red Cross Society,red cross,
Saudi Arabian Red Crescent Society,red cross,
Pakistan Red Crescent Society,red cross,
New Zealand Red Cross,red cross,
"Comoros Red Crescent, The",red cross,
Myanmar Red Cross Society,red cross,
Egyptian Red Crescent Society,red cross,
Dominica Red Cross Society,red cross,
Yemen Red Crescent Society,red cross,
Tunisian Red Crescent,red cross,
Red Crescent Society of Tajikistan,red cross,
Rwandan Red Cross,red cross,
Macedonian Red Cross,red cross,
Taiwan Red Cross Society,red cross,
Irish Red Cross Society,red cross,
Tanzania Red Cross National Society,red cross,
Liechtenstein Red Cross,red cross,
Malagasy Red Cross Society,red cross,
Icelandic Red Cross,red cross,
Bahamas Red Cross Society,red cross,
Jamaica Red Cross,red cross,
Sri Lanka Red Cross Society,red cross,
Costa Rican Red Cross,red cross,
Red Cross Society of Panama,red cross,
Portuguese Red Cross,red cross,
Vanuatu Red Cross Society,red cross,
Croix Rouge RDC,red cross,
Republic of Korea National Red Cross,red cross,
Red Cross Society of Georgia,red cross,
ICRC MoveAbility Foundation (former ICRC Special Fund for the Disabled),red cross,
Antigua and Barbuda Red Cross Society,red cross,
Saint Kitts and Nevis Red Cross Society,red cross,
Bangladesh Red Crescent Society,red cross,
Rebuild Iraq Recruitment Program | Qatar Red Crescent Society,red cross,
Haitian National Red Cross Society,red cross,
Ecuadorian Red Cross,red cross,
Hungarian Red Cross,red cross,
Red Crescent Society of the Islamic Republic of Iran,red cross,
Polish Red Cross,red cross,
Cook Islands Red Cross Society,red cross,
Somali Red Crescent Society,red cross,
Mauritanian Red Crescent,red cross,
Belize Red Cross Society,red cross,
Kuwaiti Society for Relief,Red Cross,
Red Crescent Society of Azerbaijan,red cross,
Kazakh Red Crescent Society,red cross,
Burkinabe Red Cross Society,red cross,
Hpa-an Orthoqaedic Rehabilitation Centre,red cross,
Iraqi Red Crescent Society,red cross,
Zimbabwe Red Cross,red cross,
Hellenic Red Cross,red cross,
Namibia Red Cross,red cross,
"Gambian Red Cross Society, The",red cross,
Benin Red Cross Society,red cross,
Chilean Red Cross,red cross,
Djibouti Red Crescent Society,Red Cross,
Red Cross Society of the Democratic People's Republic of Korea,red cross,
Zambia Red Cross Society,red cross,
Senegalese Red Cross Society,red cross,
Arab Red Crescent and Red Cross Organization,red cross,
Sierra Leone Red Cross Society,red cross,
Angola Red Cross,red cross,
Malaysia Red Crescent Society,red cross,
Malta Red Cross Society,red cross,
Seychelles Red Cross Society,red cross,
South African Red Cross Society,red cross,
Slovak Red Cross,red cross,
Mongolian Red Cross,red cross,
Guyana Red Cross Society,red cross,
Red Cross of Monaco,red cross,
Belarusian Red Cross,red cross,
Romanian Red Cross,red cross,
Red Crescent Society of Kyrgyzstan,red cross,
Central African Red Cross Society,red cross,
Cyprus Red Cross,red cross,
Mali Red Cross,red cross,
Red Cross Society of Niger,red cross,
Venezuelan Red Cross,red cross,
Uruguayan Red Cross,red cross,
Suriname Red Cross,red cross,
Bolivian Red Cross,red cross,
Peruvian Red Cross,red cross,
KESI,red cross,
Lao Red Cross,red cross,
Togolese Red Cross,red cross,
Guatemalan Red Cross,red cross,
Red Cross of Cape Verde,red cross,
Red Crescent Society of Uzbekistan,red cross,
Red Cross Society of the Republic of Moldova,red cross,
Brazilian Red Cross,red cross,
Red Cross of Montenegro,red cross,
Red Cross of the Democratic Republic of the Congo,red cross,
Omega Plus,private sector corporations,
Inter Press Service,private sector corporations,
Compact AS,private sector corporations,
Merrill Lynch,private sector corporations,
RDN,private sector corporations,
Toyota Gilbratar,private sector corporations,
ROFI Industrier AS,private sector corporations,
Kuehne & Nagel,private sector corporations,
Chapman Freeborn Airchartering,private sector corporations,
RHA,private sector corporations,
Midwest Canvas Corporation,private sector corporations,
Innovasjon Norge,private sector corporations,
Gyro AS,private sector corporations,
"Center for Emergency Aid and Rehabilitation, Inc.",private sector corporations,
PROMAN,private sector corporations,
Health Limited,private sector corporations,
"Stiftelsen barn og krig, Children and War",private sector corporations,
Mulrany International,private sector corporations,
Telecom for Basic Human Needs,private sector corporations,
International Resources Group,private sector corporations,
DHL International,private sector corporations,
Foley Hoag LLP,private sector corporations,
Terra Tech,private sector corporations,
DCP-TV,private sector corporations,
DAC Aviation International,private sector corporations,
HRG Hogg Robinson Nordic AS,private sector corporations,
Crown Agents,private sector corporations,
Sagric Intenational Pty Ltd,private sector corporations,
SHIFT,private sector corporations,
Airlink,private sector corporations,
Danish Powerlines,private sector corporations,
Basic Awareness Rehabilitation & Networking,private sector corporations,
Land O'Lakes,private sector corporations,
International Procurement Agency,private sector corporations,
John Snow International,private sector corporations,
Management Systems International,private sector corporations,
CARGOMA,private sector corporations,
"GeoLogistics Services, Inc.",private sector corporations,
Transfair/Trans Group Express,private sector corporations,
WTB International Development,private sector corporations,
Eagle Global Logistics,private sector corporations,
SWIFT RONCO,private sector corporations,
Panalpina Airfreight Incorporated,private sector corporations,
Logenix,private sector corporations,
Air Charter World,private sector corporations,
Camp Dresser and McKee Incorporated,private sector corporations,
Airline Cargo Service,private sector corporations,
Jordan Engineering Association,private sector corporations,
"Swift Creative, Inc.",private sector corporations,
SADEL,private sector corporations,
SWIFT - Society for Worldwide Interbank Financial Telecommunication,private sector corporations,
Chemonics International Inc.,private sector corporations,
Creative Association Inc.,private sector corporations,
Reach out Foundation for Human Development,private sector corporations,
BUKKEHAVE,private sector corporations,
Development Alternatives Inc.,private sector corporations,
Centre for Humanitarian Dialogue,private sector corporations,
Yasra Food Company,private sector corporations,
City Center Co.,private sector corporations,
Christoffel-Blindenmission,NGOs,
American Bar Association,private sector corporations,
Pact Inc.,private sector corporations,
JTS-Korea,private sector corporations,
Diplomat Freight Services,private sector corporations,
Freightco,private sector corporations,
Mahavir Overseas,private sector corporations,
Ev. Zentralstelle e.V.,private sector corporations,
"Precise Kit Promotions, Inc.",private sector corporations,
Bioforce,private sector corporations,
Spedition TBSG Bremen,private sector corporations,
Estonian Science Park Tehnopol,private sector corporations,
Bearing Point,private sector corporations,
Bechtel,private sector corporations,
SSA Marine,private sector corporations,
SkyLink,private sector corporations,
CAII - Creative Associates International,private sector corporations,
Radio SAWA,private sector corporations,
Agility,private sector corporations,
Jemael-international,private sector corporations,
Cavalier Logistics,private sector corporations,
Agriterra,private sector corporations,
NRS Relief,private sector corporations,
Priority Worldwide Services,private sector corporations,
La Federación Nacional de Comerciantes,private sector corporations,
Miyamoto International,private sector corporations,
Ledmark Industries LLC,private sector corporations,
JAS Forwarding Worldwide Inc.,private sector corporations,
Lynden Air Cargo,private sector corporations,
Butyl Products Ltd Group,private sector corporations,
SGS,private sector corporations,
"International Business & Technical Consultants, Inc.",private sector corporations,
Landstar Express America,private sector corporations,
"John S Connor, Inc",private sector corporations,
International Training Inc.,private sector corporations,
Grupo Sofonias (Switzerland),private sector corporations,
AIR CHARTER SERVICE,private sector corporations,
Intertek Group plc,private sector corporations,
Nahrain International Company,private sector corporations,
Scoop Group,private sector corporations,
GIGnos (consulting company),private sector corporations,
MANNET (consulting company),private sector corporations,
Dynasafe International Group,private sector corporations,
Datong,private sector corporations,
Pastoral Social,private sector corporations,
DMR,private sector corporations,
Scanagri,private sector corporations,
Agri-Systems,private sector corporations,
Bollore Logistics USA Inc.,private sector corporations,
"Tetra Tech, Inc.",private sector corporations,
PALLADIUM INTERNATIONAL PTY LTD,private sector corporations,
O.K.I General Trading L.L.C.,private sector corporations,
WISAG,private sector corporations,
ROSSAIR,private sector corporations,
The Association for Specialist Fire Protection (ASFP),private sector corporations,
Real Relief,private sector corporations,
RONCO Consulting Corporation,private sector corporations,
Commission of Real Property Claims,private sector corporations,
BMI,private sector corporations,
Hrúz,private sector corporations,
Nathan Associates,private sector corporations,
IBM,private sector corporations,
Dialog International e.V.,private sector corporations,
HBN,private sector corporations,
Aviation Assistance A/S,private sector corporations,
Genesis Software,private sector corporations,
Riverside Technologies Inc.,private sector corporations,
Stonepath Logistics,private sector corporations,
Checci & Company,private sector corporations,
Air Cargo Associates,private sector corporations,
NEPCom,private sector corporations,
MEDECO,private sector corporations,
Proximity Designs (formerly International Development Enterprises),private sector corporations,
Eurest Personalrestauranter AS,private sector corporations,
ARESA,private sector corporations,
JP Morgan Chase,private sector corporations,
Saga Falabella,private sector corporations,
"National Fishery Society, Peru",private sector corporations,
Santa Isabel Market,private sector corporations,
Gamarra's Merchant Commission,private sector corporations,
Luchetti,private sector corporations,
Backus y Cervesur,private sector corporations,
DF Young Inc.,private sector corporations,
ALICORP,private sector corporations,
Lima Airport Partners,private sector corporations,
Peru Rail,private sector corporations,
Peruvian Private Enterprise Colchones Paraiso,private sector corporations,
Ripley,private sector corporations,
"Zodiac of North America, Inc.",private sector corporations,
Normeca AS,private sector corporations,
Inglesia Morava,private sector corporations,
Thue & Selvaag AS,private sector corporations,
BID,private sector corporations,
SANOFI,private sector corporations,
Cedar Fund,private sector corporations,
Hedwin Corporation,private sector corporations,
"Pro Pac, Inc.",private sector corporations,
Verein für Aufbauhilfe Tambanevana,private sector corporations,
NIRAS,private sector corporations,
BOLHISPANIA,private sector corporations,
International Medical Support Services,private sector corporations,
Lms Water Systems (France),private sector corporations,
Casals and Associates,private sector corporations,
CEVA Logistics,private sector corporations,
"FRAZIMA, S.A.",private sector corporations,
CICERO,private sector corporations,
Aramex International,private sector corporations,
Matrix International,private sector corporations,
Northwest Woolen Mills,private sector corporations,
Radisson SAS,private sector corporations,
Sherrit,private sector corporations,
Greenshields Cowie,private sector corporations,
Sterling Export Corp,private sector corporations,
"QED Limited, LLC",private sector corporations,
British Airways,private sector corporations,
MAXIMUS,private sector corporations,
Cumberland Pharmaceuticals Inc,private sector corporations,
Associates in Rural Development,private sector corporations,
ANGLO AMERICAN PLC,private sector corporations,
FedEx,private sector corporations,
IBN SINA,private sector corporations,
Haitian Women of Miami,private sector corporations,
CPR Savers and First Aid Supply,private sector corporations,
"Interstate Products, Inc",private sector corporations,
Media21,private sector corporations,
Bilkent Holding,private sector corporations,
Techno Plan,private sector corporations,
"IRIS KIM, Inc.",private sector corporations,
Karda Systems,private sector corporations,
BEPROD,private sector corporations,
Helping Hands,private sector corporations,
Indus Resource Centre,private sector corporations,
Supply Chain Management System,private sector corporations,
PROMARK,private sector corporations,
MSD-DK,private sector corporations,
Merove-Pierre Et Associes,private sector corporations,
MAB Consulting,private sector corporations,
Inprosula,private sector corporations,
Natures Way,private sector corporations,
The Rendon Group,private sector corporations,
Louis Berger,private sector corporations,
Corporacion Opcion Legal,private sector corporations,
Synaps information Agency,private sector corporations,
The KonTerra Group,private sector corporations,
Norske PEN,private individual/organisation,
Private (individuals & organizations),private individual/organisation,
WORLD LUTERAN FEDERATION - COLOMBIA,private individual/organisation,
Christusträger Bruderschaft,private individual/organisation,
Madrasati Initiative,private individual/organisation,
The Society of the Revival of Islamic Heritage,private individual/organisation,
Les Amis du Liban,private individual/organisation,
International Press Institute,private individual/organisation,
The Christian Council of Sweden,private individual/organisation,
International Federation of Journalists,private individual/organisation,
Landsforeningen for lesbisk og homofil frigjøring,private individual/organisation,
World Association of Newspapers and News Publishers,private individual/organisation,
Global Editors Network,private individual/organisation,
Kissito Healthcare International,private individual/organisation,
Swedish Missionary Association,private individual/organisation,
Brotherhood Association humanity of Human Rights,private individual/organisation,
Sr. Hildegard Litzlhammer,private individual/organisation,
Sr. Elfride Jagers-berger,private individual/organisation,
Ft. Petrus Obermüller,private individual/organisation,
Sindh Agriculture and Forestry Workers Cooperation Organization,private individual/organisation,
Ft. Hubert Leeb,private individual/organisation,
Ft. Josef Schröger,private individual/organisation,
Ft. Jakob Krinzinger,private individual/organisation,
Anna Lininger,private individual/organisation,
Diocese of Ambikapur,private individual/organisation,
Ft. Bernard Kurera,private individual/organisation,
Ft. Karl Kuppelwieser,private individual/organisation,
Great Family Organization,private individual/organisation,
Rotary Fiji,private individual/organisation,
Christian Peacemaker Teams,private individual/organisation,
Afghan Technical Consultants,private individual/organisation,
Horsed Relief and Development Organization,private individual/organisation,
Family Empowerment and Relief Organisation,private individual/organisation,
Nawayee Rehabilitation and Development Organization for Afghan Women,private individual/organisation,
Catholic Diocese of Torit,private individual/organisation,
PEN International,private individual/organisation,
The Association for Women's Rights in Development,private individual/organisation,
Ensemble Contre la Peine de Mort,private individual/organisation,
Pastoralist Development Organization,private individual/organisation,
"The Institute of Cultural Affairs, Japan",private individual/organisation,
FMYY,private individual/organisation,
Spanish Religious Organizations,private individual/organisation,
Independent Commission for Human Rights,private individual/organisation,
Society for Human Emancipation and Development,private individual/organisation,
Stiftelsen Litteraturhuset,private individual/organisation,
WEF - World Editors Forum,private individual/organisation,
National Council of Churches in Australia,private individual/organisation,
VNG International,private individual/organisation,
SWEFOR - Swedish Fellowship of Reconciliation,private individual/organisation,
Humanitarian Africa Relief Development Organization,private individual/organisation,
World Council of Churches,private individual/organisation,
Lebanese Association for Development Al Majmoua,private individual/organisation,
Taghyeer,private individual/organisation,
Association de Lutte Contre le Sida,private individual/organisation,
United Israel Appeal,private individual/organisation,
Norwegian Medical Association,private individual/organisation,
Initiative for Development and Empowerment Axis,private individual/organisation,
Poverty Eradication Initiative,private individual/organisation,
JHPIEGO,private individual/organisation,
Clinton Health Access Initiative,private individual/organisation,
Nile Hope Development Forum,private individual/organisation,
The Equal Rights Trust,private individual/organisation,
Salesian Missions,private individual/organisation,
Public Health Initiative Liberia,private individual/organisation,
Global Network of Civil Society Orgs,private individual/organisation,
Africa Centre for Holistic Management,private individual/organisation,
GKST - Presbyterian Christian Church of Central Sulawesi,private individual/organisation,
World Assembly of Muslim Youth,private individual/organisation,
Swedish Free Mission,private individual/organisation,
American Jewish Joint Distribution Committee,private individual/organisation,
Les Amis du Tibet,private individual/organisation,
Islamic Medical Association,private individual/organisation,
Sharjah Charity House,private individual/organisation,
"Mission 21, Basle",private individual/organisation,
Kuwaiti Social Reform Society,private individual/organisation,
Farmers Integrated Development Association,private individual/organisation,
Japan America Society of Southern California,private individual/organisation,
National Relief Committee,private individual/organisation,
Center for Humanitarian Services,private individual/organisation,
Norwegian Pentecostal Movement,private individual/organisation,
Korean Church Federation of Support for North Korea,private individual/organisation,
The General Assembly of Presbyterian Church in Korea,private individual/organisation,
School of Tomorrow Ltd,private individual/organisation,
Indego Africa,private individual/organisation,
Public Affairs Committee,private individual/organisation,
Hudec Sedec,private individual/organisation,
Hôpital Français de Hanoï,private individual/organisation,
Parroquia Jesus Redentor,private individual/organisation,
Kölnische Franziskanerprovinz Von Den Heiligen Drei Königen,private individual/organisation,
South Sudan Law Society,private individual/organisation,
Misereor,private individual/organisation,
Missionszentrale der Franziskaner e.V.,private individual/organisation,
Riverine Relief Program,private individual/organisation,
Kuwait Joint Relief Committee,private individual/organisation,
Presbyterian Church of Korea,private individual/organisation,
Association for People's Cooperation between South and North Korea,private individual/organisation,
ProVention,private individual/organisation,
Initiative Développement,private individual/organisation,
Federation of Women Lawyers in Kenya,private individual/organisation,
Evangelical Development Programme,private individual/organisation,
Swedish Convenant Church,private individual/organisation,
WEUDAM - WEU De-mining Assistance Mission,private individual/organisation,
Norwegian Tamils Health Organisation,private individual/organisation,
Soroptimist International,private individual/organisation,
Comité de bienfaisance assyrien,private individual/organisation,
Diocese of Rumbek,private individual/organisation,
Deutsches Institute für Arztliche Mission,private individual/organisation,
Church of the Living God International,private individual/organisation,
PRB,private individual/organisation,
Soeurs missionnaires de la charite (Mere Teresa),private individual/organisation,
Episcopal Relief and Development,private individual/organisation,
International Reading Association,private individual/organisation,
Foyer Maurice Sixto,private individual/organisation,
Canadian Baptist Ministries,private individual/organisation,
Joint Christian Services International,private individual/organisation,
Monaco Aide et Presence,private individual/organisation,
Give World,private individual/organisation,
Comité Français pour la Solidarité,private individual/organisation,
Asmae Soeur Emmanuelle,private individual/organisation,
Bureau International Catholique de l'Enfance,private individual/organisation,
Collectif Asie Enfants Isolés,private individual/organisation,
TGK Consult,private individual/organisation,
Foster Parents Plan Canada,private individual/organisation,
RWSSP,private individual/organisation,
Acumet Catholic Parish,private individual/organisation,
Custodia Franciscana,private individual/organisation,
Young Women's Christian Association/La Strada,private individual/organisation,
